page_title,longitude,latitude,hitcount
Universität des Saarlandes,49.255556,7.041667,300
Hochschule für Technik und Wirtschaft des Saarlandes,49.2357,6.97561,277
Institut für Rechtsinformatik (Saarbrücken),49.2544,7.04167,94
Hermann-Neuberger-Sportschule,49.2508,7.03583,91
Leibniz-Institut für Neue Materialien,49.2567,7.04,74
Saarländische Universitäts- und Landesbibliothek,49.2533,7.03889,60
Frauengenderbibliothek Saar,49.2307,7.00741,46
Katholische Hochschule für Soziale Arbeit,49.2522,6.96298,43
