filters	page_title	page_id	page_namespace
"Geotags (53.0759,8.80731)
Page Hits (count: 15144)"	Bremen	554	0
"Geotags (53.0759,8.8073)
Page Hits (count: 1236)"	Bremer Roland	1133226	0
"Geotags (53.0758,8.80722)
Page Hits (count: 724)"	Liste der Verwaltungseinheiten in Bremen	3221637	0
"Geotags (49.35,8.15)
Page Hits (count: 261)"	Liste der kreisfreien Städte in Deutschland	30223	0
"Geotags (53.0592,8.8525)
Page Hits (count: 89)"	Karl-Carstens-Brücke	2002967	0
"Geotags (53.0775,8.79861)
Page Hits (count: 76)"	Bürgermeister-Smidt-Brücke	6575953	0
