page_title,longitude,latitude,hitcount
Garnisonen der Landstreitkräfte Österreich-Ungarns,46.6275,10.7675,292
Oberösterreich Tourismus,48.3218,14.2919,98
Zivilverwaltung Mühlviertel,48.3114,14.2828,26
O.Ö. Energiesparverband,48.3003,14.2915,25
