filters	page_title	page_id	page_namespace
"Geotags (51.4292,6.80083)
Page Hits (count: 1670)"	Universität Duisburg-Essen	31115	0
"Geotags (51.454,6.71578)
Page Hits (count: 509)"	Psychotherapeutisches Institut Bergerhausen	7425537	0
"Geotags (51.4307,6.7998)
Page Hits (count: 121)"	NRW School of Governance	1683629	0
"Geotags (51.4288,6.77013)
Page Hits (count: 120)"	Museum DKM	4172222	0
"Geotags (51.4403,6.77028)
Page Hits (count: 105)"	Atlantis Kindermuseum	1039225	0
"Geotags (51.4325,6.76653)
Page Hits (count: 103)"	Stadtbibliothek Duisburg	2161666	0
"Geotags (51.4317,6.78722)
Page Hits (count: 75)"	Friedrich-Albert-Lange-Berufskolleg	1833452	0
"Geotags (51.4304,6.76536)
Page Hits (count: 53)"	Skulpturenpark am Lehmbruck-Museum	6136870	0
"Geotags (51.4553,6.71779)
Page Hits (count: 40)"	Schulschiff Rhein	5843355	0
