page_title,longitude,latitude,hitcount
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Liste der Stadtbezirke Würzburgs,49.7933,9.93111,198
Ludwigsbrücke (Würzburg),49.7863,9.92667,85
Konrad-Adenauer-Brücke (Würzburg),49.7713,9.94006,47
Akademie Frankenwarte,49.7806,9.90631,34
