filters	page_title	page_id	page_namespace
"Geotags (52.5058,13.3406)
Page Hits (count: 872)"	Aquarium Berlin	1190315	0
"Geotags (52.5308,13.4043)
Page Hits (count: 366)"	John-Lennon-Gymnasium	5358295	0
"Geotags (52.5122,13.3887)
Page Hits (count: 254)"	Sozio-oekonomisches Panel	430119	0
"Geotags (52.52,13.4039)
Page Hits (count: 242)"	Sea Life Centre	874256	0
"Geotags (52.5445,13.3528)
Page Hits (count: 223)"	Beuth Hochschule für Technik Berlin	134261	0
"Geotags (52.5161,13.3989)
Page Hits (count: 216)"	Berliner Bauakademie	352412	0
"Geotags (52.5156,13.4011)
Page Hits (count: 185)"	European School of Management and Technology	641228	0
"Geotags (52.5197,13.4027)
Page Hits (count: 180)"	AquaDom	2143479	0
"Geotags (52.5183,13.3867)
Page Hits (count: 108)"	Universitätsbibliothek der Humboldt-Universität zu Berlin	4315460	0
"Geotags (52.5236,13.3789)
Page Hits (count: 104)"	Berliner Medizinhistorisches Museum	1487485	0
"Geotags (52.5136,13.3239)
Page Hits (count: 100)"	Architekturmuseum der Technischen Universität Berlin	2232172	0
"Geotags (52.5289,13.3744)
Page Hits (count: 79)"	Pépinière	1135260	0
"Geotags (52.5461,13.4361)
Page Hits (count: 48)"	Staatliche Ballettschule und Schule für Artistik (Berlin)	3538553	0
"Geotags (52.525,13.3816)
Page Hits (count: 45)"	Anatomisches Theater der Tierarzneischule	3117405	0
"Geotags (52.517,13.3834)
Page Hits (count: 44)"	Berliner Aquarium Unter den Linden	4612288	0
"Geotags (52.5105,13.3732)
Page Hits (count: 43)"	Königliches Wilhelms-Gymnasium (Berlin)	3223095	0
"Geotags (52.5289,13.3908)
Page Hits (count: 38)"	Theologisches Konvikt Berlin	1922443	0
"Geotags (52.5245,13.4121)
Page Hits (count: 37)"	Berliner Journalisten-Schule	289451	0
"Geotags (52.5158,13.3992)
Page Hits (count: 31)"	Bauakademie	352393	0
"Geotags (52.5057,13.3894)
Page Hits (count: 31)"	Friedrich-Wilhelms-Gymnasium (Berlin)	3581113	0
"Geotags (52.516,13.3814)
Page Hits (count: 31)"	Ministerium für Volksbildung (DDR)	5433784	0
"Geotags (52.5264,13.3945)
Page Hits (count: 29)"	Jüdische Mädchenschule (Berlin)	7270725	0
"Geotags (52.5005,13.3877)
Page Hits (count: 25)"	Plamannsche Erziehungsanstalt	3604146	0
"Geotags (52.526,13.3511)
Page Hits (count: 24)"	Luisengymnasium Berlin	3893003	0
"Geotags (52.5406,13.4228)
Page Hits (count: 24)"	MACHmit! Museum für Kinder	3557834	0
"Geotags (52.503,13.391)
Page Hits (count: 19)"	Campus Berufsbildung	6061709	0
"Geotags (52.54,13.4133)
Page Hits (count: 18)"	Schule für Bildende Kunst und Gestaltung	5248902	0
"Geotags (52.521,13.4029)
Page Hits (count: 17)"	Handelshochschule Berlin	995779	0
"Geotags (52.5037,13.3567)
Page Hits (count: 11)"	Haus Unger	3362979	0
"Geotags (52.5437,13.363)
Page Hits (count: 10)"	August Bebel Institut	7655732	0
"Geotags (52.5382,13.4046)
Page Hits (count: 10)"	Freizeithaus am Mauerpark	7761970	0
"Geotags (52.5256,13.4051)
Page Hits (count: 10)"	Sophien-Gymnasium und Realgymnasium	5853632	0
"Geotags (52.5257,13.387)
Page Hits (count: 9)"	Friedrichs-Gymnasium Berlin	6802116	0
"Geotags (52.5184,13.4123)
Page Hits (count: 9)"	Gymnasium zum Grauen Kloster Berlin (Gebäude)	5685673	0
"Geotags (52.524,13.3922)
Page Hits (count: 8)"	Stiftung Johanneum	2879832	0
"Geotags (52.5198,13.3936)
Page Hits (count: 7)"	Deutsches Journalistenkolleg	7307863	0
"Geotags (52.5196,13.3865)
Page Hits (count: 7)"	Dorotheenstädtische Realschule	6802351	0
"Geotags (52.4887,13.3963)
Page Hits (count: 4)"	Konservatorium für türkische Musik Berlin	3061364	0
"Geotags (52.4875,13.4336)
Page Hits (count: ?)"	1. Gemeinschaftsschule	4128458	0
"Geotags (52.5074,13.3888)
Page Hits (count: ?)"	Berliner Künstlerprogramm des DAAD	4964920	0
"Geotags (52.4908,13.3308)
Page Hits (count: ?)"	Fondazione L’Unione Europea Berlin	7183666	0
"Geotags (52.4853,13.3378)
Page Hits (count: ?)"	Hochschule für Wirtschaft und Recht Berlin	829364	0
"Geotags (52.496,13.3412)
Page Hits (count: ?)"	Lette-Verein	648693	0
"Geotags (52.5111,13.3216)
Page Hits (count: ?)"	Schiller-Oberschule Berlin	7636645	0
"Geotags (52.5103,13.3306)
Page Hits (count: ?)"	Zentralbibliothek der TU und UdK Berlin	462084	0
