page_title,latitude,longitude,hitcount
Doppelgrab von Oberkassel,50.7144,7.17464,34738
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Bundesinstitut für Arzneimittel und Medizinprodukte,50.706,7.1367,1041
Rheinsteig,50.7356,7.10222,708
Rheinisches Landesmuseum Bonn,50.7319,7.0925,702
Beethoven-Haus,50.7369,7.10139,660
Kunst- und Ausstellungshalle der Bundesrepublik Deutschland,50.7142,7.12203,641
Deutscher Akademischer Austauschdienst,50.7002,7.14862,567
Liste der diplomatischen Vertretungen in Bonn,50.6858,7.15221,444
Bundesstraße 42,50.725,7.16318,314
Deutsche UNESCO-Kommission,50.7317,7.09381,269
Zentrum Militärmusik der Bundeswehr,50.707,7.13858,130
Brotfabrik Bonn,50.741,7.1235,102
Hochkreuz (Wegekreuz in Bonn),50.6969,7.14126,61
Mineralogisches Museum der Universität Bonn,50.725,7.09209,60
Stolper Heimatstuben,50.7539,7.08318,41
